0,255,0,255,1,206,437,440,158,160,70,3,9,0,0,0,0
1,255,0,255,1,31,25,33,0,0,0,0,0,0,0,0,0
2,255,0,255,1,168,506,578,306,467,305,167,220,21,0,0,0
3,26,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,255,0,255,1,124,243,303,97,134,67,3,7,0,0,0,0
5,13,13,0,1,0,0,2,0,0,0,0,0,0,0,0,0
6,255,0,255,1,119,318,228,122,167,90,8,4,0,0,0,0
7,21,21,0,1,1,11,33,0,0,0,0,0,0,0,0,0
8,255,0,255,1,153,420,423,175,273,148,23,24,0,0,0,0
9,255,0,255,1,156,221,231,115,122,67,6,7,0,0,0,0
10,20,20,0,1,5,37,80,0,35,5,0,1,0,0,0,0
11,255,0,255,1,162,378,304,67,77,13,0,0,0,0,0,0
12,255,0,255,1,35,36,46,0,2,1,0,0,0,0,0,0
13,255,0,255,1,168,612,558,356,456,246,65,84,1,0,0,0
14,255,0,255,1,174,402,386,251,303,139,32,44,9,1,1,0
15,255,0,255,1,33,50,49,1,2,0,0,0,0,0,0,0
16,25,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,255,0,255,1,278,759,640,498,559,215,67,62,1,0,0,0
18,19,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,204,51,255,1,205,1020,912,908,1308,970,786,1049,546,133,60,20
21,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,255,0,255,1,99,150,184,70,84,33,5,11,0,0,0,0
25,23,23,0,1,1,5,6,0,0,0,0,0,0,0,0,0
26,34,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,34,34,0,1,9,6,27,0,0,0,0,0,0,0,0,0
28,13,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,255,0,255,1,213,501,486,186,219,115,28,42,1,0,0,0
30,21,21,0,1,3,15,20,0,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,255,0,255,1,168,353,313,115,138,61,4,11,0,0,0,0
33,244,11,255,1,176,611,457,261,381,158,32,49,0,0,0,0
34,228,27,255,1,215,757,631,589,906,620,410,564,225,15,0,0
35,255,0,255,1,209,496,392,247,317,172,35,63,0,0,0,0
36,255,0,255,1,202,614,577,356,371,266,127,162,15,16,21,4
37,255,0,255,1,130,382,308,58,36,8,0,0,0,0,0,0
38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,255,0,255,1,154,405,354,104,168,123,19,8,0,0,0,0
40,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,21,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0
42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,255,0,255,1,130,214,255,26,34,16,0,0,0,0,0,0
44,255,0,255,1,147,266,215,63,73,24,6,11,0,0,0,0
45,255,0,255,1,111,138,138,5,21,9,0,2,0,0,0,0
46,255,0,255,1,180,494,479,280,563,321,149,173,12,0,0,2
47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,252,3,255,1,181,582,620,366,435,193,29,30,1,0,0,0
49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,255,0,255,1,105,210,250,74,88,40,6,7,0,0,0,0
52,247,8,255,1,152,457,348,213,233,105,23,28,0,0,0,0
53,249,6,255,1,133,333,273,97,79,12,0,0,0,0,0,0
54,249,6,255,1,152,482,355,195,264,163,50,83,13,0,0,0
55,255,0,255,1,189,359,365,126,159,93,39,62,2,0,0,0
56,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,243,12,255,1,284,766,1066,1008,1168,894,696,945,304,42,11,9
58,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,255,0,255,1,241,523,433,223,248,125,22,33,0,0,0,0
60,43,43,0,1,29,67,106,10,31,11,0,1,0,0,0,0
61,64,64,0,1,107,641,576,932,1248,793,531,670,186,24,3,0
62,228,27,255,1,323,1139,1422,1577,1792,1456,1037,1278,584,229,287,406
63,237,18,255,1,160,563,418,384,391,206,35,23,0,0,0,0
64,243,12,255,1,235,822,875,542,875,553,368,519,232,50,7,0
65,109,109,0,1,115,481,460,477,696,478,331,321,50,0,0,0
66,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,255,0,255,1,205,463,538,261,356,229,131,138,5,0,0,0
70,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,255,0,255,1,90,255,320,125,245,179,64,77,1,0,0,0
74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,249,6,255,1,203,627,900,852,1018,711,575,720,217,18,5,0
76,255,0,255,1,147,236,258,94,109,42,11,8,0,0,0,0
77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,19,19,0,1,2,19,45,3,3,1,0,0,0,0,0,0
79,255,0,255,1,113,257,183,69,127,62,10,8,0,0,0,0
80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,225,30,255,1,297,885,991,814,1158,664,498,487,76,3,2,0
83,38,38,0,1,28,61,87,0,3,0,0,0,0,0,0,0
84,255,0,255,1,107,269,211,57,165,78,3,5,0,0,0,0
85,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,255,0,255,1,152,518,525,186,295,140,33,40,1,0,0,0
87,236,19,255,1,246,1096,1179,1282,2091,968,763,757,276,48,12,1
88,255,0,255,1,113,267,278,140,253,122,12,30,0,0,0,0
89,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,248,7,255,1,146,375,369,117,87,21,3,2,0,0,0,0
91,12,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0
92,13,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,56,56,0,1,92,320,329,179,258,74,4,6,0,0,0,0
94,254,1,255,1,191,419,510,264,371,247,98,111,10,4,3,0
